; Kepler light curve for kplr005110407.
; Quarter 02
; CBVs have been removed.
; Column 1:  Time from the Kepler .fits files (MBJD)
; Column 2:  Normalized flux with CBVs removed
; Column 3:  Errors on the original SAP data
    186.6033085       2092.6128       2.3091614
    186.6237425       2097.9228       2.3097720
    186.6441765       2095.4547       2.3095617
    186.6646107       2099.2761       2.3101079
    186.6850447       2101.7100       2.3103538
    186.7054788       2103.8062       2.3107331
    186.7259128       2108.1113       2.3111849
    186.7463469       2107.0670       2.3110399
    186.7667810       2109.9492       2.3117313
    186.7872150       2115.1158       2.3120527
    186.8076491       2110.1284       2.3116643
    186.8280832       2117.9761       2.3126750
    186.8485172       2123.5829       2.3134556
    186.8689512       2118.8371       2.3126497
    186.8893854       2123.9806       2.3135695
    186.9098193       2125.9460       2.3135889
    186.9302534       2126.7130       2.3137634
    186.9506876       2128.3361       2.3139331
    186.9711215       2135.1472       2.3148925
    186.9915556       2132.9012       2.3146045
    187.0119897       2138.7606       2.3153565
    187.0324238       2136.9433       2.3152006
    187.0528578       2138.2924       2.3155489
    187.0732918       2135.5283       2.3150563
    187.0937260       2144.1147       2.3161631
    187.1141600       2145.0680       2.3162351
    187.1345940       2147.4419       2.3165736
    187.1550281       2151.4102       2.3172476
    187.1754621       2147.9223       2.3166645
    187.1958962       2149.6934       2.3168502
    187.2163302       2149.6633       2.3168807
    187.2367643       2152.9600       2.3173459
    187.2571984       2151.3750       2.3172424
    187.2776324       2159.6699       2.3182094
    187.2980664       2153.4564       2.3174899
    187.3185005       2159.8581       2.3181632
    187.3389346       2167.7378       2.3192682
    187.3593685       2162.7885       2.3186951
    187.4002368       2160.6257       2.3185036
    187.4206707       2162.3270       2.3185320
    187.4411048       2171.2150       2.3195987
    187.4615389       2163.9146       2.3187346
    187.4819729       2170.5981       2.3196592
    187.5024069       2164.6706       2.3188968
    187.5228411       2168.6476       2.3194509
    187.5432751       2166.7656       2.3190100
    187.5637091       2169.4828       2.3195162
    187.5841431       2170.0106       2.3195465
    187.6045773       2168.2778       2.3194900
